"","Address","nearest_mrt","dist_to_nearest_mrt","mrt_1km"
"3799","877 TAMPINES ST 84","2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683","1.09342007987515","0"
"3800","228 SIMEI ST 4","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.305006748257498","2"
"3801","107 SIMEI ST 1","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.341388653388165","1"
"3802","105 SIMEI ST 1","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.38725910028227","1"
"3803","867A TAMPINES ST 83","15 TAMPINES CENTRAL 1 TAMPINES MRT STATION (DT32) SINGAPORE 529544","1.03198698564143","0"
"3804","21 JOO SENG RD","60 MERPATI ROAD MATTAR MRT STATION (DT25) SINGAPORE 379314","0.84254449403953","3"
"3805","159 WOODLANDS ST 13","71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044","0.140940736361437","1"
"3806","158 WOODLANDS ST 13","71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044","0.185617808247973","1"
"3807","838 WOODLANDS ST 82","11 WOODLANDS SQUARE WOODLANDS MRT STATION (TE2) SINGAPORE 737736","0.746604079172293","3"
"3808","395 YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.36105876697833","0"
"3809","396 YISHUN AVE 6","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.34443290936724","0"
"3810","328 YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","0.896834441079544","1"
"3811","360 YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.20368678117941","0"
"3812","140 BISHAN ST 12","17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842","0.849117459763638","3"
"3813","446 BRIGHT HILL DR","1 JALAN KELI UPPER THOMSON MRT STATION (TE8) SINGAPORE 577937","0.390082867667088","2"
"3814","149 PETIR RD","31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269","0.114453614460265","9"
"3815","246 BANGKIT RD","20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939","0.164269654462294","5"
"3816","407 FAJAR RD","31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269","0.448644505722957","9"
"3817","415 SAUJANA RD","40 FAJAR ROAD FAJAR LRT STATION (BP10) SINGAPORE 679004","0.256153053850506","9"
"3818","207 PETIR RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.482413367883496","2"
"3819","412 SAUJANA RD","40 FAJAR ROAD FAJAR LRT STATION (BP10) SINGAPORE 679004","0.34538801594644","9"
"3820","213 PETIR RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.50629753937626","2"
"3821","405 CHOA CHU KANG AVE 3","50 CHOA CHU KANG WAY SOUTH VIEW LRT STATION (BP2) SINGAPORE 688265","0.649809618962702","3"
"3822","73 C'WEALTH DR","375 COMMONWEALTH AVENUE COMMONWEALTH MRT STATION (EW20) SINGAPORE 149735","0.330269007013474","2"
"3823","263 SERANGOON CTRL DR","21 SERANGOON CENTRAL SERANGOON MRT STATION (CC13) SINGAPORE 556082","0.371251619005125","3"
"3824","822 TAMPINES ST 81","2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683","0.550371713502696","1"
"3825","863B TAMPINES ST 83","15 TAMPINES CENTRAL 1 TAMPINES MRT STATION (DT32) SINGAPORE 529544","0.876685148373229","1"
"3826","222 SIMEI ST 4","30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888","0.44237070048156","4"
