"","X","lat","long","postal","x","y","address"
"440",458,1.36616711565267,103.746951747398,659003,18388.3992932597,38689.5069671217,"2 BUKIT BATOK WEST AVENUE 7 HOMETEAMNS ADVENTURE CENTRE BUKIT BATOK SINGAPORE 659003"
"441",459,1.36267450828024,103.76417292006,667979,20304.9008575827,38303.2499323208,"4 HILLVIEW RISE HILLV2 SINGAPORE 667979"
"442",460,1.34716236191294,103.742807879476,650166,17927.1571122985,36588.0725927521,"166 BUKIT BATOK WEST AVENUE 8 DBS NTUC BUKIT BATOK EAST AVENUE 8 SINGAPORE 650166"
"443",461,1.34737180152613,103.743698106143,651154,18026.2304582093,36611.227721367,"154A BUKIT BATOK WEST AVENUE 8 SINGAPORE 651154"
"444",462,1.36393821475024,103.751896006121,651395,18938.6284988476,38443.0269968398,"395A BUKIT BATOK WEST AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 395A (CC) SINGAPORE 651395"
"445",463,1.38506836476439,103.744950378814,689812,18165.7480050363,40779.5215944499,"21 CHOA CHU KANG AVENUE 4 DBS NTUC LOT 1 SHOPPERS' MALL SINGAPORE 689812"
"446",464,1.37376504895355,103.721781664161,698928,15587.304463502,39529.7647191193,"501 OLD CHOA CHU KANG ROAD HOME TEAM ACADEMY SINGAPORE 698928"
"447",465,1.37736607441394,103.744393648768,680253,18103.7591441153,39927.8427333515,"253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253"
"448",466,1.37805614752086,103.738931794069,680475,17495.9250015644,40004.170991024,"475 CHOA CHU KANG AVENUE 3 KINDERLAND KINDERGARTEN (CHOA CHU KANG) SINGAPORE 680475"
"449",469,1.38062798768557,103.741520103731,680410,17783.9828903591,40288.5411194861,"410 CHOA CHU KANG AVENUE 3 KEAT HONG LAUREL SINGAPORE 680410"
"450",471,1.41927816224448,103.718425682733,718813,15214.0702286959,44562.4021527786,"10 NEO TIEW LANE 2 KRANJI SANCTUARY RESORT SINGAPORE 718813"
"451",472,1.30246408847832,103.763750972451,120720,20257.7549921256,31645.4866179004,"720 CLEMENTI WEST STREET 2 SINGAPORE 120720"
"452",473,1.31190695723944,103.759128018939,120502,19743.2926759291,32689.6460042689,"502 WEST COAST DRIVE AYER RAJAH MARKET SINGAPORE 120502"
"453",474,1.30358622534992,103.76610375397,127371,20519.60171506,31769.559714159,"154 WEST COAST ROAD DBS WEST COAST PLAZA SINGAPORE 127371"
"454",475,1.3223749703177,103.738412755847,600061,17437.9221011512,33847.2246106472,"61 TEBAN GARDENS ROAD DBS TEBAN GARDENS SINGAPORE 600061"
"455",476,1.32052026841644,103.742651512921,600037,17909.6466902336,33642.1233047415,"37 TEBAN GARDENS ROAD UOB TEBAN GARDENS SINGAPORE 600037"
"456",477,1.30358622534992,103.76610375397,127371,20519.60171506,31769.559714159,"154 WEST COAST ROAD DBS WEST COAST PLAZA SINGAPORE 127371"
"457",478,1.30176130472397,103.769369391763,129787,20883.0325131556,31567.7597977724,"101 CLEMENTI ROAD DBS NUS KENT VALE SINGAPORE 129787"
