"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"6355","329 TAH CHING RD","161 CORPORATION WALK WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL SINGAPORE 618310","0.647758621900922","1"
"6356","717 TAMPINES ST 72","21 TAMPINES STREET 71 NASCANS @ POI CHING SINGAPORE 529067","0.129746536535283","2"
"6357","754 WOODLANDS CIRCLE","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.144328550295186","5"
"6358","425 WOODLANDS ST 41","23 WOODLANDS AVENUE 1 SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL) SINGAPORE 739063","0.608596973132898","2"
"6359","758 WOODLANDS AVE 6","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.209109482418995","4"
"6360","613B BEDOK RESERVOIR RD","52 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479226","0.451267694790775","2"
"6361","289B BT BATOK ST 25","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.530244960764225","2"
"6362","288A BT BATOK ST 25","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.510684539116107","2"
"6363","171 GANGSA RD","9 FAJAR ROAD YMCA STUDENT CARE CENTRE @ ZHENGHUA SINGAPORE 679002","0.316568146157048","4"
"6364","506 JELAPANG RD","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","0.132447212612503","5"
"6365","444 CHOA CHU KANG AVE 4","3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814","0.225226250859764","2"
"6366","157 JLN TECK WHYE","11 TECK WHYE WALK SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL) SINGAPORE 688261","0.612190581165487","2"
"6367","632 CHOA CHU KANG NTH 6","10 CHOA CHU KANG STREET 64 YEW TEE PRIMARY SCHOOL SINGAPORE 689100","0.267911500251878","4"
"6368","633 CHOA CHU KANG NTH 6","10 CHOA CHU KANG STREET 64 YEW TEE PRIMARY SCHOOL SINGAPORE 689100","0.192791194156318","4"
"6369","448 CHOA CHU KANG AVE 4","3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814","0.124609930901623","2"
"6370","169 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.576616759070417","2"
"6371","170 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.514885305299249","2"
"6372","161 HOUGANG ST 11","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.729521900970568","1"
"6373","920 HOUGANG ST 91","1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720","0.213189051401957","4"
