"","Address","nearest_supermarket","dist_to_nearest_supermarket","supermarket_1km"
"173","624 BT BATOK CTRL","1 BUKIT BATOK CENTRAL LINK BUKIT BATOK CENTRAL POST OFFICE SINGAPORE 658713","0.162445697258156","8"
"174","290A BT BATOK ST 24","284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284","0.390981647940286","5"
"175","141 BT BATOK ST 11","159 BUKIT BATOK STREET 11 SINGAPORE 650159","0.215179863842195","5"
"176","120 BT BATOK CTRL","1 BUKIT BATOK CENTRAL LINK BUKIT BATOK CENTRAL POST OFFICE SINGAPORE 658713","0.205997932515839","7"
"177","289A BT BATOK ST 25","284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284","0.439851316455055","2"
"178","10 JLN BT HO SWEE","55 TIONG BAHRU ROAD TIONG BAHRU ESTATE SINGAPORE 160055","0.375826379961713","9"
"179","2 JLN BT HO SWEE","18 KIM TIAN ROAD KAI FOOK MANSION SINGAPORE 169252","0.396950612683506","8"
"180","45 TELOK BLANGAH DR","78A TELOK BLANGAH STREET 32 PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN) SINGAPORE 101078","0.193878334165233","2"
"181","36 BEO CRES","50 HAVELOCK ROAD DBS NTUC HAVELOCK ROAD SINGAPORE 160050","0.158936049486423","8"
"182","20 TELOK BLANGAH CRES","8 TELOK BLANGAH CRESCENT SINGAPORE 090008","0.292581336393236","3"
"183","16 TAMAN HO SWEE","18 KIM TIAN ROAD KAI FOOK MANSION SINGAPORE 169252","0.438259091811827","8"
"184","32 TELOK BLANGAH RISE","8 TELOK BLANGAH CRESCENT SINGAPORE 090008","0.579962965391517","3"
"185","33 TELOK BLANGAH WAY","8 TELOK BLANGAH CRESCENT SINGAPORE 090008","0.536759249869605","1"
"186","142 JLN BT MERAH","26 JALAN MEMBINA MULTI STOREY CAR PARK SINGAPORE 161026","0.683543860085576","3"
"187","131 JLN BT MERAH","26 JALAN MEMBINA MULTI STOREY CAR PARK SINGAPORE 161026","0.395846473180343","5"
