"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"148","154 BT BATOK ST 11","30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163","0.397824867142116","2"
"149","260 BT BATOK EAST AVE 4","2 BUKIT BATOK STREET 52 PRO-TEACH SCHOOLCARE (LIANHUA) PTE LTD SINGAPORE 659243","0.653590650508973","3"
"150","360 BT BATOK ST 31","35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441","0.318694838148091","3"
"151","217 BT BATOK ST 21","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.152989789442359","3"
"152","178 BT BATOK WEST AVE 8","158 JURONG EAST STREET 24 PRO-TEACH SCHOOLCARE (YUHUA) SINGAPORE 609558","0.399345151494808","2"
"153","265 BT BATOK EAST AVE 4","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.703729222597139","3"
"154","134 BT BATOK WEST AVE 6","30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163","0.499309446293671","2"
"155","301 BT BATOK ST 31","35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441","0.269680666158192","3"
"156","289E BT BATOK ST 25","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.377421469023529","2"
"157","244 BT BATOK EAST AVE 5","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.481365545990449","3"
"158","248 BT BATOK EAST AVE 5","2 BUKIT BATOK STREET 52 PRO-TEACH SCHOOLCARE (LIANHUA) PTE LTD SINGAPORE 659243","0.514508182441953","3"
"159","290D BT BATOK EAST AVE 3","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.185943039928561","2"
"160","395 BT BATOK WEST AVE 5","30 BUKIT BATOK STREET 32 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S SINGAPORE 659401","0.414387029940514","2"
"161","642 BT BATOK CTRL","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.412563107074483","3"
"162","185 BT BATOK WEST AVE 6","30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163","0.52355488404995","3"
"163","106 BT BATOK CTRL","30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163","0.727989245990018","3"
"164","210 BT BATOK ST 21","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.415083297904206","2"
"165","386 BT BATOK WEST AVE 5","30 BUKIT BATOK STREET 32 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S SINGAPORE 659401","0.368535952758462","2"
"166","394 BT BATOK WEST AVE 5","30 BUKIT BATOK STREET 32 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S SINGAPORE 659401","0.457902830264738","2"
"167","190 BT BATOK WEST AVE 6","158 JURONG EAST STREET 24 PRO-TEACH SCHOOLCARE (YUHUA) SINGAPORE 609558","0.638926257835338","3"
"168","206 BT BATOK ST 21","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.485125565184867","3"
"169","211 BT BATOK ST 21","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.369229286740066","3"
